NOMBREs PARTICIPANTE,ID. Participante,CODIGO ficha,TÍTULO de la iniciativa,ENTIDAD promotora,PERSONAS de contacto (Datos),Año DESDE,AÑO HASTA,¿IMPLEMENTADA? (SI o NO),ORIGEN (EM o INST),PROVINCIA IMPULSORA,PROVINCIAS APLICACIÓN,T.I: 1-SERVICIOS,T.I. 2-PROCESOS,T.I. 3-GESTION PERSONAS,T.I. 4-PARTICIPACIÓN,T.I. 5-ORGANIZATIVA,T.I. 6-CAMBIO CULTURAL,T.I. 7-TECNOLÓGICA,T.I. 8-TRANSPARENCIA,T.I. 9-COLABORACIÓN,T.I. 10-GEST.CON,T.I. 11-BIENESTAR,T.I. 12-IGUALDAD GEN,T.I. 13-SENSIB.CUIDAD.,T.I. 14-NORMATIVO,A.A. 1-TURISMO,A.A. 2-JUSTICIA,A.A. 3-ADMON PUB.,A.A. 4-INTERIOR,A.A. 5-EMPLEO,A.A. 6-HACIENDA,A.A. 7-IND.ENERG,A.A. 8-EDUCACIÓN,A.A. 9-DEPORTE,A.A. 10-AGRIC-GAN-PESC,A.A. 11-M.AMBIENTE,A.A. 12-ECON.EMP.,A.A. 13-CON-UNIV,A.A. 14-SALUD,A.A. 15-POLIT.SOC.,A.A. 16-MEDIO RURAL,A.A. 17-MOVILIDAD,A.A. 18-CULTURA,A.A. 19-FOMENTO,Ayuntamientos,Diputaciones
Juan Antonio Villar Torres,18,18.1,GRUSE. Grupos socioeducativos de atención primaria en salud,Distrito Sanitario Málaga. Delegación Salud Málaga,Alicia Maldonado. Coordinadora Promoción de la salud,2011,Actualidad,SI,EM,MÁLAGA,ANDALUCÍA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Juan Antonio Villar Torres,18,18.10,Seguridad vial urbana. Guía codificada de infracciones,Escuela de Seguridad Pública de Andalucía. Servicio de Formación,Emilio Andrades Gomar/ Antonio Gaviño Calado,2018,Actualidad,SI,INST,ANDALUCÍA,ANDALUCÍA,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,
Juan Antonio Villar Torres,18,18.2,Decálogo de buen divorcio,"Equipos técnicos, Magistrado y funcionarios  del Juzgado de Primera Instancia n.º 5 de Málaga. Juzgado de Familia",M.ª Ángeles Peña Yáñez/ José Luis Utrera. Magistrado,2005,Actualidad,SI,EM,MÁLAGA,ANDALUCÍA,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,
Juan Antonio Villar Torres,18,18.3,Selección de personal interino para la Administración de Justicia a través del Servicio Andaluz de Empleo,Delegación Provincial de Justicia y Administración Pública Málaga y Servicio Andaluz de Empleo Málaga,Juan Antoniio Villar Torres/ Fernando Colina Robledo,2008,2013,SI,EM,MÁLAGA,ANDALUCÍA,,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Juan Antonio Villar Torres,18,18.4,Caminos escolares. Andando al cole como toda la vida,Consejería de Educación. Consejería Salud. Dirección General de Tráfico. Entidades Locales Andalucía,,2010,Actualidad,SI,INST,ANDALUCÍA,ANDALUCÍA,1,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,1
Juan Antonio Villar Torres,18,18.5,SIRhUSI. Sistema de Información de Recursos Humanos de la Junta de Andalucía,Dirección General de Función Pública,M.ª Peña Mate Aranda,1999,Actualidad,SI,INST,ANDALUCÍA,ANDALUCÍA,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Juan Antonio Villar Torres,18,18.6,Web del emplead@ Portal de información laboral y tramitación electrónica del personal de la Junta de Andalucía,Dirección General de Función Pública,,2002,Actualidad,SI,INST,ANDALUCÍA,ANDALUCÍA,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
Juan Antonio Villar Torres,18,18.7,Banco de Prácticas del Observatorio para la mejora de los servicios púbicos,Dirección General de Modernización e innovación de los servicios públicos,,2007,2012,SI,INST,ANDALUCÍA,ANDALUCÍA,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Juan Antonio Villar Torres,18,18.8,Punto de Encentro Familiar,"Equipos técnicos, Magistrado y funcionarios  del Juzgado de Primera Instancia n.º 5 de Málaga. Juzgado de Familia",M.ª Ángeles Peña Yáñez/ José Luis Utrera. Magistrado,1999,Actualidad,SI,EM,MÁLAGA,ANDALUCÍA,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,
Juan Antonio Villar Torres,18,18.9,Análisis de los elementos vulnerables en zonas de riesgo de incendios. Interfase,Servicio de Protección Civil e INFOCA Málaga. Grupo de Emergencias Andalucía,Rafael Gálvez Chica/Miguel A. Caralina/Luis Peñín,2011,Actualidad,SI,EM,MÁLAGA,ANDALUCÍA,1,,,1,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,1,
